dept_id,univ_id,department,學群,學類,category_id
007152,007,醫務管理暨醫療資訊學系,醫藥衛生學群,醫務管理學類,0416
007162,007,醫務管理暨醫療資訊學系(APCS組),醫藥衛生學群,醫務管理學類,0416
007172,007,醫藥暨應用化學系應用化學組,生命科學學群,生化學類,0503
007182,007,醫藥暨應用化學系醫藥化學組,生命科學學群,生化學類,0503
007192,007,生物醫學暨環境生物學系,生命科學學群,生命科學學類,0504
007202,007,生物科技學系,生命科學學群,生物科技學類,0505
007212,007,生命科學院學士班(英語組),生命科學學群,生命科學學類,0504
007222,007,心理學系,社會與心理學群,心理學類,1001
007232,007,醫學社會學與社會工作學系,社會與心理學群,社會工作學類,1003
007242,007,薪火招生(醫學系),不分系學群,不分系學類,1901
007252,007,薪火招生(牙醫學系),不分系學群,不分系學類,1901
007262,007,薪火招生(藥學系),不分系學群,不分系學類,1901
007272,007,薪火招生(運動醫學系),不分系學群,不分系學類,1901
007282,007,薪火招生B組(醫事證照類),不分系學群,不分系學類,1901
007292,007,薪火招生C組(應化、醫化與香粧品學系),不分系學群,不分系學類,1901
007302,007,薪火招生D組(人文社會科學類),不分系學群,不分系學類,1901
007312,007,薪火招生E組(生命科學類),不分系學群,不分系學類,1901
007322,007,薪火招生F組(口衛、公衛與醫管資學系),不分系學群,不分系學類,1901
008012,008,應用數學系,數理化學群,數學學類,0301
008022,008,物理學系物理組,數理化學群,物理學類,0303
008032,008,物理學系光電與材料科學組,數理化學群,物理學類,0303
008042,008,化學系化學組,數理化學群,化學學類,0302
008052,008,化學系材料化學組,數理化學群,化學學類,0302
008062,008,心理學系,社會與心理學群,心理學類,1001
008072,008,生物科技學系,生命科學學群,生物科技學類,0505
008082,008,化學工程學系綠能製程組,工程學群,化學工程學類,0210
008092,008,化學工程學系生化工程組,工程學群,化學工程學類,0210
008102,008,化學工程學系材料工程組,工程學群,化學工程學類,0210
008112,008,土木工程學系,工程學群,土木工程學類,0208
008122,008,機械工程學系,工程學群,機械工程學類,0206
008132,008,生物醫學工程學系,工程學群,生醫/醫學工程學類,0212
008142,008,環境工程學系,地球與環境學群,環境工程學類,0702
008152,008,電機資訊學院學士班,資訊學群,資訊工程學類,0101
008162,008,工業與系統工程學系工程組,管理學群,工業工程與管理學類,1603
008172,008,工業與系統工程學系管理組,管理學群,工業工程與管理學類,1603
008182,008,電子工程學系,工程學群,電子工程學類,0203
008192,008,資訊工程學系,資訊學群,資訊工程學類,0101
008202,008,電機工程學系,工程學群,電機工程學類,0201
008212,008,"美國威大密爾瓦基分校電機與資訊工程雙學士學位學程
(008212)",工程學群,電機工程學類,0201
008222,008,電機資訊學院智慧運算與大數據學士班,資訊學群,資訊工程學類,0101
008232,008,企業管理學系服務業管理組,管理學群,企業管理學類,1608
008242,008,企業管理學系高科技業管理組,管理學群,企業管理學類,1608
008252,008,企業管理學系工商管理組,管理學群,企業管理學類,1608
008262,008,國際經營與貿易學系,財經學群,國際企業學類,1704
008272,008,會計學系,財經學群,會計學類,1702
008282,008,資訊管理學系,管理學群,資訊管理學類,1601
008292,008,財務金融學系,財經學群,財務金融學類,1703
008302,008,"與美國天普大學商學管理雙學士學位學程
(008302)",管理學群,企業管理學類,1608
008312,008,財經法律學系財貿法組,法政學群,財經法律學類,1503
008322,008,財經法律學系科技法組,法政學群,財經法律學類,1503
008332,008,建築學系,建築與設計學群,建築學類,0802
008342,008,室內設計學系,建築與設計學群,工業設計學類,0805
008352,008,商業設計學系商業設計組,建築與設計學群,商業設計學類,0807
008362,008,商業設計學系產品設計組乙類,建築與設計學群,工業設計學類,0805
008372,008,地景建築學系,建築與設計學群,景觀與空間設計學類,0804
008382,008,英國牛津布魯克斯大學建築及都市設計雙學士學位學程,建築與設計學群,建築學類,0802
008392,008,特殊教育學系,教育學群,特殊教育學類,1408
008402,008,應用外國語文學系,外語學群,英語文學類,1201
008412,008,應用華語文學系,文史哲學群,華語文教育學類,1309
008422,008,半導體產業學士學位學程,工程學群,電子工程學類,0203
008432,008,商業設計學系產品設計組甲類,建築與設計學群,工業設計學類,0805
009012,009,中國文學系,文史哲學群,中國語文學類,1304
009022,009,外國語文學系,外語學群,英語文學類,1201
009032,009,歷史學系,文史哲學群,歷史學類,1305
009042,009,日本語言文化學系,外語學群-日語文學類,1203
009052,009,哲學系,文史哲學群-哲學學類,1304
009062,009,應用物理學系,數理化學群-物理學類,0303
009072,009,化學系化學組,數理化學群-化學學類,0302
009082,009,化學系化學生物組,生命科學學群-生化學類,0503
009092,009,生命科學系(生物醫學組),生命科學學群-生命科學學類,0504
009102,009,生命科學系(生態暨生物多樣性組),生命科學學群-生態學類,0507
009112,009,智慧計算暨應用數學系(A組),數理化學群-數學學類,0301
009122,009,智慧計算暨應用數學系(B組),數理化學群-應用數學學類,0301
009132,009,化學工程與材料工程學系,工程學群-化學工程學類,0210
009142,009,工業工程與經營資訊學系(智慧設計與生產組),工程學群-工業工程與管理學類,0214
009152,009,工業工程與經營資訊學系(智慧經營與管理組),工程學群-工業工程與管理學類,0214
009162,009,環境科學與工程學系,地球與環境學群-環境工程學類,0702
009172,009,資訊工程學系,資訊學群-資訊工程學類,0101
009182,009,資訊工程學系(APCS組),資訊學群-資訊工程學類,0101
009192,009,電機工程學系,工程學群-電機工程學類,0201
009202,009,企業管理學系,管理學群-企業管理學類,1608
009212,009,國際經營與貿易學系,財經學群-國際企業學類,1704
009222,009,會計學系,財經學群-會計學類,1702
009232,009,財務金融學系,財經學群-財務金融學類,1703
009242,009,統計學系(巨量資料管理組),數理化學群-統計學類,0307
009252,009,統計學系(決策管理組),數理化學群-統計學類,0307
009262,009,資訊管理學系,資訊學群-資訊管理學類,0107
009272,009,經濟學系,財經學群-經濟學類,1707
009282,009,政治學系,法政學群-政治學類,1504
009292,009,行政管理暨政策學系,法政學群-行政管理學類,1505
009302,009,社會學系,社會與心理學群-社會學學類,1002
009312,009,社會工作學系,社會與心理學群-社會工作學類,1003
009322,009,畜產與生物科技學系,生物資源學群-動物科學學類,0605
009332,009,食品科學系,生物資源學群-食品生技學類,0609
009342,009,餐旅管理學系,遊憩與運動學群-餐旅管理學類,1806
009352,009,高齡健康與運動科學學士學位學程,醫藥衛生學群-健康照護學類,0412
009362,009,建築學系,建築與設計學群-建築學類,0802
009372,009,工業設計學系(A組),建築與設計學群-工業設計學類,0805
009382,009,工業設計學系(B組),建築與設計學群-工業設計學類,0805
009392,009,景觀學系,建築與設計學群-景觀與空間設計學類,0804
009402,009,法律學系,法政學群-法律學類,1501
009412,009,國際學院國際經營管理學位學程,管理學群-國際企業管理學類,1607
009422,009,永續科學與管理學士學位學程,地球與環境學群-綠環境與防災學類,0706
009432,009,音樂學系(演奏唱組),藝術學群-音樂學類,0902
009442,009,音樂學系(音樂治療組),藝術學群-音樂學類,0902
009452,009,美術學系,藝術學群-美術學類,0901
011012,011,中國文學系甲組(一般組),文史哲學群-中國語文學類,1301
011022,011,中國文學系乙組(華語文教學組),文史哲學群-華語文教育學類,1309
011032,011,外國語文學系,外語學群-外語文學類,1201
011042,011,人文社會學院學士班,文史哲學學群-不分系,1999
011052,011,教育與學習科技學系,教育學群-教育學類,1407
011062,011,教育與學習科技學系(公費生),教育學群-教育學類,1407
