req_id,dept_id,exam_year,subject_id,require_level
1208,004202,115,2,前標
1209,004202,115,3,
1210,004202,115,4,
1211,004202,115,5,前標
1212,004212,115,0,
1213,004212,115,1,均標
1214,004212,115,2,前標
1215,004212,115,3,
1216,004212,115,4,
1217,004212,115,5,前標
1218,004222,115,0,
1219,004222,115,1,前標
1220,004222,115,2,前標
1221,004222,115,3,
1222,004222,115,4,
1223,004222,115,5,前標
1224,004232,115,0,均標
1225,004232,115,1,前標
1226,004232,115,2,前標
1227,004232,115,3,
1228,004232,115,4,
1229,004232,115,5,前標
1230,004242,115,0,均標
1231,004242,115,1,頂標
1232,004242,115,2,前標
1233,004242,115,3,
1234,004242,115,4,
1235,004242,115,5,前標
1236,004252,115,0,均標
1237,004252,115,1,均標
1238,004252,115,2,均標
1239,004252,115,3,
1240,004252,115,4,
1241,004252,115,5,均標
1242,004262,115,0,均標
1243,004262,115,1,前標
1244,004262,115,2,均標
1245,004262,115,3,
